2026-04-28 20:07:02 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-28 20:07:16 | INFO | SmartScraper | Response status: 200, length: 4784440
2026-04-28 20:07:16 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-28 20:07:16 | INFO | SmartScraper | Success with requests!
2026-04-28 20:07:16 | INFO | SmartScraper | Data extracted for /en/ad/own-apartment-ready-to-move-very-prime-location-for-sale-view-landscape-at-compound-hyde-park-near-to-sodic-eastown-mivida-ID503362514.html
2026-04-28 20:07:16 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-28 20:07:18 | INFO | SmartScraper | Response status: 200, length: 4788190
2026-04-28 20:07:18 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-28 20:07:18 | INFO | SmartScraper | Success with requests!
2026-04-28 20:07:18 | INFO | SmartScraper | Data extracted for /en/ad/for-quick-sale-apartment-at-a-low-resale-price-207-square-meters-in-hyde-park-compound-3-bedrooms-ready-for-viewing-fifth-settlement-new-cairo-ID503390056.html
2026-04-28 20:07:18 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-28 20:07:20 | INFO | SmartScraper | Response status: 200, length: 4808210
2026-04-28 20:07:20 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-28 20:07:20 | INFO | SmartScraper | Success with requests!
2026-04-28 20:07:20 | INFO | SmartScraper | Data extracted for /en/ad/exclusive-price-lowest-downpayment-and-installment-2-bedrooms-apartment-for-sale-in-hyde-park-compound-new-cairo-ID503387796.html
2026-04-28 20:07:20 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-28 20:07:24 | INFO | SmartScraper | Response status: 200, length: 4787203
2026-04-28 20:07:24 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-28 20:07:24 | INFO | SmartScraper | Success with requests!
2026-04-28 20:07:24 | INFO | SmartScraper | Data extracted for /en/ad/apartment-for-sale-221m-in-hyde-park-ID503383760.html
2026-04-28 20:07:24 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-28 20:07:26 | INFO | SmartScraper | Response status: 200, length: 4796417
