2026-04-27 18:58:37 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-27 18:58:40 | INFO | SmartScraper | Response status: 200, length: 4776081
2026-04-27 18:58:40 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-27 18:58:40 | INFO | SmartScraper | Success with requests!
2026-04-27 18:58:40 | INFO | SmartScraper | Data extracted for /en/ad/own-apartment-ready-to-move-very-prime-location-for-sale-view-landscape-at-compound-hyde-park-near-to-sodic-eastown-mivida-ID503362514.html
2026-04-27 18:58:40 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-27 18:58:41 | INFO | SmartScraper | Response status: 200, length: 4779943
2026-04-27 18:58:41 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-27 18:58:41 | INFO | SmartScraper | Success with requests!
2026-04-27 18:58:42 | INFO | SmartScraper | Data extracted for /en/ad/for-quick-sale-apartment-at-a-low-resale-price-207-square-meters-in-hyde-park-compound-3-bedrooms-ready-for-viewing-fifth-settlement-new-cairo-ID503390056.html
2026-04-27 18:58:42 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-27 18:58:43 | INFO | SmartScraper | Response status: 200, length: 4787494
2026-04-27 18:58:43 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-27 18:58:43 | INFO | SmartScraper | Success with requests!
2026-04-27 18:58:43 | INFO | SmartScraper | Data extracted for /en/ad/exclusive-price-lowest-downpayment-and-installment-2-bedrooms-apartment-for-sale-in-hyde-park-compound-new-cairo-ID503387796.html
2026-04-27 18:58:43 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-27 18:58:45 | INFO | SmartScraper | Response status: 200, length: 4774496
2026-04-27 18:58:45 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-27 18:58:45 | INFO | SmartScraper | Success with requests!
2026-04-27 18:58:45 | INFO | SmartScraper | Data extracted for /en/ad/apartment-for-sale-221m-in-hyde-park-ID503383760.html
2026-04-27 18:58:45 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-27 18:58:46 | INFO | SmartScraper | Response status: 200, length: 4805239
2026-04-27 18:58:46 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-27 18:58:46 | INFO | SmartScraper | Success with requests!
2026-04-27 18:58:46 | INFO | SmartScraper | Data extracted for /en/ad/for-sale-3-bedrooms-apartment-delivery-soon-by-5-dp-prime-location-in-hyde-park-new-cairo-ID503377892.html
2026-04-27 18:58:46 | INFO | SmartScraper | Trying fast approach (requests)...
2026-04-27 18:58:48 | INFO | SmartScraper | Response status: 200, length: 4784034
2026-04-27 18:58:48 | INFO | SmartScraper | Content looks valid, using requests response
2026-04-27 18:58:48 | INFO | SmartScraper | Success with requests!
2026-04-27 18:58:48 | INFO | SmartScraper | Data extracted for /en/ad/fully-finished-ready-to-move-3-bedrooms-apartment-for-sale-in-hyde-park-compound-5th-settlement-new-cairo-ID503373689.html
